Wavelength,ϵ1,ϵ2
200.0,2.377764,0.0
201.0,2.375009877057658,0.0
202.0,2.3722981162633037,0.0
203.0,2.369627846891739,0.0
204.0,2.3669982206151743,0.0
205.0,2.364408410811813,0.0
206.0,2.3618576118993153,0.0
207.0,2.3593450386921213,0.0
208.0,2.3568699257816603,0.0
209.0,2.3544315269385065,0.0
210.0,2.3520291145356103,0.0
211.0,2.3496619789917412,0.0
212.0,2.3473294282343495,0.0
213.0,2.3450307871810603,0.0
214.0,2.342765397239072,0.0
215.0,2.3405326158217457,0.0
216.0,2.338331815881725,0.0
217.0,2.3361623854599234,0.0
218.0,2.3340237272497757,0.0
219.0,2.3319152581761666,0.0
220.0,2.3298364089884567,0.0
221.0,2.3277866238670897,0.0
222.0,2.32576536004324,0.0
223.0,2.323772087431028,0.0
224.0,2.321806288271814,0.0
225.0,2.3198674567901234,0.0
226.0,2.317955098860778,0.0
227.0,2.3160687316867987,0.0
228.0,2.3142078834876956,0.0
229.0,2.31237209319776,0.0
230.0,2.3105609101739915,0.0
231.0,2.308773893913303,0.0
232.0,2.3070106137786817,0.0
233.0,2.3052706487339663,0.0
234.0,2.3035535870869412,0.0
235.0,2.301859026240445,0.0
236.0,2.3001865724512127,0.0
237.0,2.2985358405961724,0.0
238.0,2.296906453945933,0.0
239.0,2.295298043945221,0.0
240.0,2.2937102499999997,0.0
241.0,2.292142719271074,0.0
242.0,2.2905951064739134,0.0
243.0,2.2890670736845204,0.0
244.0,2.2875582901511,0.0
245.0,2.28606843211136,0.0
246.0,2.2845971826152316,0.0
247.0,2.2831442313528396,0.0
248.0,2.281709274487532,0.0
249.0,2.280292014493812,0.0
250.0,2.2788921600000003,0.0
251.0,2.2775094256354658,0.0
252.0,2.276143531882292,0.0
253.0,2.274794204931204,0.0
254.0,2.273461176541645,0.0
255.0,2.272144183905844,0.0
256.0,2.270842969516754,0.0
257.0,2.2695572810397397,0.0
258.0,2.268286871187881,0.0
259.0,2.267031497600786,0.0
260.0,2.2657909227267954,0.0
261.0,2.2645649137084725,0.0
262.0,2.263353242271274,0.0
263.0,2.2621556846152986,0.0
264.0,2.2609720213100197,0.0
265.0,2.2598020371919025,0.0
266.0,2.258645521264823,0.0
267.0,2.2575022666031965,0.0
268.0,2.256372070257729,0.0
269.0,2.2552547331637194,0.0
270.0,2.2541500600518214,0.0
271.0,2.2530578593612023,0.0
272.0,2.2519779431550146,0.0
273.0,2.250910127038118,0.0
274.0,2.2498542300769766,0.0
275.0,2.2488100747216717,0.0
276.0,2.2477774867299645,0.0
277.0,2.2467562950933413,0.0
278.0,2.2457463319649946,0.0
279.0,2.2447474325896666,0.0
280.0,2.2437594352353183,0.0
281.0,2.242782181126548,0.0
282.0,2.2418155143797307,0.0
283.0,2.240859281939811,0.0
284.0,2.239913333518707,0.0
285.0,2.238977521535286,0.0
286.0,2.2380517010568455,0.0
287.0,2.2371357297420844,0.0
288.0,2.2362294677854933,0.0
289.0,2.2353327778631495,0.0
290.0,2.2344455250798476,0.0
291.0,2.2335675769175625,0.0
292.0,2.232698803185169,0.0
293.0,2.2318390759694173,0.0
294.0,2.230988269587103,0.0
295.0,2.2301462605384126,0.0
296.0,2.229312927461408,0.0
297.0,2.2284881510876144,0.0
298.0,2.2276718141986884,0.0
299.0,2.226863801584127,0.0
300.0,2.226064,0.0
301.0,2.2252722981286652,0.0
302.0,2.2244885865394526,0.0
303.0,2.22371275765028,0.0
304.0,2.22294470569018,0.0
305.0,2.222184326662714,0.0
306.0,2.2214315183102467,0.0
307.0,2.220686180079062,0.0
308.0,2.2199482130852917,0.0
309.0,2.2192175200816417,0.0
310.0,2.2184940054248905,0.0
311.0,2.2177775750441366,0.0
312.0,2.2170681364097895,0.0
313.0,2.21636559850326,0.0
314.0,2.215669871787357,0.0
315.0,2.2149808681773537,0.0
316.0,2.214298501012719,0.0
317.0,2.2136226850294833,0.0
318.0,2.2129533363332348,0.0
319.0,2.212290372372725,0.0
320.0,2.2116337119140623,0.0
321.0,2.2109832750154923,0.0
322.0,2.2103389830027314,0.0
323.0,2.2097007584448565,0.0
324.0,2.2090685251307294,0.0
325.0,2.2084422080459367,0.0
326.0,2.207821733350245,0.0
327.0,2.2072070283555476,0.0
328.0,2.2065980215042957,0.0
329.0,2.205994642348398,0.0
330.0,2.2053968215285837,0.0
331.0,2.2048044907542117,0.0
332.0,2.2042175827835124,0.0
333.0,2.203636031404261,0.0
334.0,2.203059771414866,0.0
335.0,2.202488738605857,0.0
336.0,2.2019228697417743,0.0
337.0,2.20136210254344,0.0
338.0,2.20080637567061,0.0
339.0,2.200255628704987,0.0
340.0,2.199709802133595,0.0
341.0,2.1991688373325062,0.0
342.0,2.198632676550902,0.0
343.0,2.1981012628954772,0.0
344.0,2.1975745403151574,0.0
345.0,2.1970524535861435,0.0
346.0,2.1965349482972623,0.0
347.0,2.1960219708356177,0.0
348.0,2.1955134683725417,0.0
349.0,2.1950093888498308,0.0
350.0,2.194509680966264,0.0
351.0,2.1940142941643965,0.0
352.0,2.1935231786176232,0.0
353.0,2.1930362852175045,0.0
354.0,2.1925535655613464,0.0
355.0,2.19207497194003,0.0
356.0,2.191600457326094,0.0
357.0,2.1911299753620437,0.0
358.0,2.190663480348904,0.0
359.0,2.190200927234997,0.0
360.0,2.189742271604938,0.0
361.0,2.18928746966886,0.0
362.0,2.18883647825184,0.0
363.0,2.188389254783542,0.0
364.0,2.187945757288057,0.0
365.0,2.187505944373949,0.0
366.0,2.1870697752244883,0.0
367.0,2.186637209588079,0.0
